# Source: HM Land Registry Price Paid Data. Crown copyright and database right 2026.
# Licence: Open Government Licence v3.0 (https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/)
# Compiled by Ranking Atlas, ranking-atlas.com
quarter,Old Oak Common_median,Old Oak Common_n,Old Oak Common_index,Birmingham Curzon St_median,Birmingham Curzon St_n,Birmingham Curzon St_index,Crewe_median,Crewe_n,Crewe_index,Manchester Piccadilly_median,Manchester Piccadilly_n,Manchester Piccadilly_index,Manchester Airport_median,Manchester Airport_n,Manchester Airport_index,Staffs corridor_median,Staffs corridor_n,Staffs corridor_index,Toton / East Midlands hub_median,Toton / East Midlands hub_n,Toton / East Midlands hub_index,Sheffield Midland_median,Sheffield Midland_n,Sheffield Midland_index,Leeds_median,Leeds_n,Leeds_index,england_median,england_n,england_index_2012,england_index_2013
Q4 2018,467340,382,142.7,184950,181,155.4,166972,498,141.5,170000,246,154.5,272750,388,147.2,228250,568,142.7,178500,301,134.7,127500,307,130.8,118750,352,122.6,230000,279961,131.4,128.9
Q1 2019,445000,394,135.9,179975,66,151.2,141000,388,119.5,160000,183,145.5,235000,287,126.9,216000,425,135.0,170000,297,128.3,121000,281,124.1,139995,417,144.5,225000,220465,128.6,126.1
Q2 2019,485000,341,148.1,214750,72,180.5,167000,429,141.5,160000,194,145.5,268000,318,144.7,214748,534,134.2,185000,265,139.6,98000,378,100.5,132500,361,136.8,230000,242996,131.4,128.9
Q3 2019,480000,419,146.6,187000,68,157.1,160000,429,135.6,122000,253,110.9,308000,371,166.3,210000,462,131.3,193500,346,146.0,117500,294,120.5,135000,393,139.4,240000,268175,137.1,134.5
Q4 2019,510000,340,155.7,240000,77,201.7,158000,531,133.9,170000,191,154.5,275000,383,148.4,225000,577,140.6,195000,309,147.2,128224,303,131.5,130100,343,134.3,236500,274402,135.1,132.5
Q1 2020,500000,382,152.7,220000,47,184.9,155000,348,131.4,206750,300,188.0,228500,252,123.3,215000,390,134.4,194000,250,146.4,125000,260,128.2,125000,336,129.1,235500,217088,134.6,131.9
Q2 2020,500000,207,152.7,190000,23,159.7,142000,286,120.3,179772,144,163.4,252000,165,136.0,222500,220,139.1,192000,167,144.9,114000,109,116.9,136250,178,140.7,230000,129821,131.4,128.9
Q3 2020,517500,378,158.0,190500,73,160.1,157000,406,133.1,183498,144,166.8,308788,327,166.7,215000,465,134.4,209000,252,157.7,143498,238,147.2,140000,324,144.6,250000,226212,142.9,140.1
Q4 2020,520000,479,158.8,182500,48,153.4,178000,516,150.8,193995,218,176.4,324975,438,175.4,246000,607,153.8,230000,418,173.6,92500,551,94.9,139250,379,143.8,267000,319182,152.6,149.6
Q1 2021,450000,599,137.4,235500,88,197.9,184000,597,155.9,199000,230,180.9,343250,480,185.3,250000,584,156.3,226666,362,171.1,125000,362,128.2,133725,312,138.1,285000,345302,162.9,159.7
