iso,year,burned_ha,retrieved_utc
FRA,2011,4831,2026-07-30T11:28:45+00:00
FRA,2012,3298,2026-07-30T11:28:45+00:00
FRA,2013,891,2026-07-30T11:28:45+00:00
FRA,2014,4667,2026-07-30T11:28:45+00:00
FRA,2015,2046,2026-07-30T11:28:45+00:00
FRA,2016,10674,2026-07-30T11:28:45+00:00
FRA,2017,20626,2026-07-30T11:28:45+00:00
FRA,2018,2528,2026-07-30T11:28:45+00:00
FRA,2019,43561,2026-07-30T11:28:45+00:00
FRA,2020,14547,2026-07-30T11:28:45+00:00
FRA,2021,30652,2026-07-30T11:28:45+00:00
FRA,2022,66337,2026-07-30T11:28:45+00:00
FRA,2023,22350,2026-07-30T11:28:45+00:00
FRA,2024,12268,2026-07-30T11:28:45+00:00
FRA,2025,36951,2026-07-30T11:28:45+00:00
FRA,2026,91024,2026-07-30T11:28:45+00:00
GBR,2006,0,2026-07-30T11:28:45+00:00
GBR,2007,0,2026-07-30T11:28:45+00:00
GBR,2008,0,2026-07-30T11:28:45+00:00
GBR,2009,0,2026-07-30T11:28:45+00:00
GBR,2010,0,2026-07-30T11:28:45+00:00
GBR,2011,17148,2026-07-30T11:28:45+00:00
GBR,2012,0,2026-07-30T11:28:45+00:00
GBR,2013,5445,2026-07-30T11:28:45+00:00
GBR,2014,85,2026-07-30T11:28:45+00:00
GBR,2015,2127,2026-07-30T11:28:45+00:00
GBR,2016,1197,2026-07-30T11:28:45+00:00
GBR,2017,5085,2026-07-30T11:28:45+00:00
GBR,2018,17689,2026-07-30T11:28:45+00:00
GBR,2019,28754,2026-07-30T10:18:57+00:00
GBR,2020,13793,2026-07-30T11:28:45+00:00
GBR,2021,6236,2026-07-30T11:28:45+00:00
GBR,2022,20362,2026-07-30T11:28:45+00:00
GBR,2023,8697,2026-07-30T11:28:45+00:00
GBR,2024,2262,2026-07-30T11:28:45+00:00
GBR,2025,47879,2026-07-30T11:28:45+00:00
GBR,2026,21871,2026-07-30T11:28:45+00:00
GRC,2006,16294,2026-07-30T11:28:45+00:00
GRC,2007,271715,2026-07-30T11:28:45+00:00
GRC,2008,24988,2026-07-30T11:28:45+00:00
GRC,2009,42807,2026-07-30T11:28:45+00:00
GRC,2010,6472,2026-07-30T11:28:45+00:00
GRC,2011,35713,2026-07-30T11:28:45+00:00
GRC,2012,52487,2026-07-30T11:28:45+00:00
GRC,2013,19762,2026-07-30T11:28:45+00:00
GRC,2014,14815,2026-07-30T11:28:45+00:00
GRC,2015,11613,2026-07-30T11:28:45+00:00
GRC,2016,31707,2026-07-30T11:28:45+00:00
GRC,2017,20041,2026-07-30T11:28:45+00:00
GRC,2018,12037,2026-07-30T11:28:45+00:00
GRC,2019,10736,2026-07-30T11:28:45+00:00
GRC,2020,14915,2026-07-30T11:28:45+00:00
GRC,2021,130744,2026-07-30T11:28:45+00:00
GRC,2022,22480,2026-07-30T11:28:45+00:00
GRC,2023,174773,2026-07-30T11:28:45+00:00
GRC,2024,41948,2026-07-30T11:28:45+00:00
GRC,2025,47819,2026-07-30T11:28:45+00:00
GRC,2026,4249,2026-07-30T11:28:45+00:00
HRV,2006,2708,2026-07-30T11:28:45+00:00
HRV,2007,17189,2026-07-30T11:28:45+00:00
HRV,2008,3216,2026-07-30T11:28:45+00:00
HRV,2009,2208,2026-07-30T11:28:45+00:00
HRV,2010,330,2026-07-30T11:28:45+00:00
HRV,2011,15368,2026-07-30T11:28:45+00:00
HRV,2012,33056,2026-07-30T11:28:45+00:00
HRV,2013,1017,2026-07-30T11:28:45+00:00
HRV,2014,304,2026-07-30T11:28:45+00:00
HRV,2015,7870,2026-07-30T11:28:45+00:00
HRV,2016,9086,2026-07-30T11:28:45+00:00
HRV,2017,67666,2026-07-30T11:28:45+00:00
HRV,2018,1234,2026-07-30T11:28:45+00:00
HRV,2019,11872,2026-07-30T11:28:45+00:00
HRV,2020,27477,2026-07-30T11:28:45+00:00
HRV,2021,9342,2026-07-30T11:28:45+00:00
HRV,2022,32943,2026-07-30T11:28:45+00:00
